,date_time,locations,east,north,east_g,north_g
0,2023-10-21 09:01:00,Ashdod - Yod Alef,3857812,3737660,3834231,3700385
1,2023-10-20 21:03:00,Ashdod - Yod Alef,3857812,3737660,3834725,3698662
2,2023-10-20 20:01:00,Ashdod - Yod Alef,3857812,3737660,3835211,3698701
3,2023-10-20 12:03:00,Ashdod - Yod Alef,3857812,3737660,3835067,3698573
4,2023-10-19 16:00:00,Ashdod - Yod Alef,3857812,3737660,3838228,3701487
5,2023-10-17 19:28:00,Ashdod - Yod Alef,3857812,3737660,3838366,3701633
6,2023-10-16 13:32:00,Ashdod - Yod Alef,3857812,3737660,3836158,3701550
7,2023-10-16 11:41:00,Ashdod - Yod Alef,3857812,3737660,3837755,3703618
8,2023-10-14 20:42:00,Ashdod - Yod Alef,3857812,3737660,3837243,3701928
9,2023-10-14 17:01:00,Ashdod - Yod Alef,3857812,3737660,3837015,3701590
10,2023-10-13 22:00:00,Ashdod - Yod Alef,3857812,3737660,3835854,3702150
11,2023-10-13 21:03:00,Ashdod - Yod Alef,3857812,3737660,3836561,3703486
12,2023-10-12 17:30:00,Ashdod - Yod Alef,3857812,3737660,3835164,3699918
13,2023-10-12 16:28:00,Ashdod - Yod Alef,3857812,3737660,3832498,3699996
14,2023-10-11 18:01:00,Ashdod - Yod Alef,3857812,3737660,3834419,3698910
15,2023-10-11 16:26:00,Ashdod - Yod Alef,3857812,3737660,3835377,3703234
16,2023-10-11 13:29:00,Ashdod - Yod Alef,3857812,3737660,3834334,3699899
17,2023-10-10 15:23:00,Ashdod - Yod Alef,3857812,3737660,3835348,3699821
18,2023-10-21 09:01:00,Ashdod - Yod Bet,3857812,3737660,3835450,3701230
19,2023-10-20 21:03:00,Ashdod - Yod Bet,3857812,3737660,3832642,3700045
20,2023-10-20 12:03:00,Ashdod - Yod Bet,3857812,3737660,3836313,3703107
21,2023-10-17 19:28:00,Ashdod - Yod Bet,3857812,3737660,3836445,3701914
22,2023-10-16 13:32:00,Ashdod - Yod Bet,3857812,3737660,3836293,3703629
23,2023-10-16 11:41:00,Ashdod - Yod Bet,3857812,3737660,3834925,3701474
24,2023-10-14 20:42:00,Ashdod - Yod Bet,3857812,3737660,3834641,3702667
25,2023-10-14 17:01:00,Ashdod - Yod Bet,3857812,3737660,3832876,3699127
26,2023-10-13 21:03:00,Ashdod - Yod Bet,3857812,3737660,3836122,3701467
27,2023-10-12 17:30:00,Ashdod - Yod Bet,3857812,3737660,3835009,3699391
28,2023-10-12 16:28:00,Ashdod - Yod Bet,3857812,3737660,3836383,3703770
29,2023-10-11 18:01:00,Ashdod - Yod Bet,3857812,3737660,3835509,3699215
30,2023-10-11 16:26:00,Ashdod - Yod Bet,3857812,3737660,3835058,3700647
31,2023-10-11 13:29:00,Ashdod - Yod Bet,3857812,3737660,3837843,3702271
32,2023-10-21 09:01:00,Ashdod - Tet Vav,3857812,3737660,3837995,3702597
33,2023-10-20 21:03:00,Ashdod - Tet Vav,3857812,3737660,3838026,3702324
34,2023-10-20 12:03:00,Ashdod - Tet Vav,3857812,3737660,3834624,3700639
35,2023-10-17 19:28:00,Ashdod - Tet Vav,3857812,3737660,3831947,3698941
36,2023-10-16 13:32:00,Ashdod - Tet Vav,3857812,3737660,3833736,3700831
37,2023-10-16 11:41:00,Ashdod - Tet Vav,3857812,3737660,3838205,3702230
38,2023-10-14 20:42:00,Ashdod - Tet Vav,3857812,3737660,3837122,3703344
39,2023-10-14 17:01:00,Ashdod - Tet Vav,3857812,3737660,3833580,3701572
40,2023-10-13 21:03:00,Ashdod - Tet Vav,3857812,3737660,3837286,3701625
41,2023-10-12 17:30:00,Ashdod - Tet Vav,3857812,3737660,3838137,3701339
42,2023-10-12 16:28:00,Ashdod - Tet Vav,3857812,3737660,3834474,3699545
43,2023-10-11 18:01:00,Ashdod - Tet Vav,3857812,3737660,3833697,3700751
44,2023-10-11 16:26:00,Ashdod - Tet Vav,3857812,3737660,3836324,3702996
45,2023-10-11 13:29:00,Ashdod - Tet Vav,3857812,3737660,3834803,3698440
46,2023-10-21 09:01:00,Ashdod - Yod Zain,3857812,3737660,3835740,3701341
47,2023-10-20 21:03:00,Ashdod - Yod Zain,3857812,3737660,3834920,3700008
48,2023-10-20 12:03:00,Ashdod - Yod Zain,3857812,3737660,3833687,3698041
49,2023-10-17 19:28:00,Ashdod - Yod Zain,3857812,3737660,3836672,3702243
50,2023-10-16 13:32:00,Ashdod - Yod Zain,3857812,3737660,3833687,3700432
51,2023-10-16 11:41:00,Ashdod - Yod Zain,3857812,3737660,3831878,3699324
52,2023-10-14 20:42:00,Ashdod - Yod Zain,3857812,3737660,3835252,3702097
53,2023-10-14 17:01:00,Ashdod - Yod Zain,3857812,3737660,3836030,3704037
54,2023-10-13 21:03:00,Ashdod - Yod Zain,3857812,3737660,3833918,3698568
55,2023-10-12 17:30:00,Ashdod - Yod Zain,3857812,3737660,3838055,3703277
56,2023-10-12 16:28:00,Ashdod - Yod Zain,3857812,3737660,3836398,3699735
57,2023-10-11 18:01:00,Ashdod - Yod Zain,3857812,3737660,3836476,3701754
58,2023-10-11 16:26:00,Ashdod - Yod Zain,3857812,3737660,3835498,3700867
59,2023-10-11 13:29:00,Ashdod - Yod Zain,3857812,3737660,3834469,3700384
60,2023-10-21 09:01:00,Ashdod - Marina,3854802,3736402,3835976,3703259
61,2023-10-20 21:03:00,Ashdod - Marina,3854802,3736402,3834806,3698861
62,2023-10-20 12:03:00,Ashdod - Marina,3854802,3736402,3834540,3699143
63,2023-10-17 19:28:00,Ashdod - Marina,3854802,3736402,3837244,3702116
64,2023-10-16 13:32:00,Ashdod - Marina,3854802,3736402,3833137,3699335
65,2023-10-16 11:41:00,Ashdod - Marina,3854802,3736402,3833908,3698311
66,2023-10-14 20:42:00,Ashdod - Marina,3854802,3736402,3832281,3698991
67,2023-10-14 17:01:00,Ashdod - Marina,3854802,3736402,3833992,3701204
68,2023-10-13 21:03:00,Ashdod - Marina,3854802,3736402,3832968,3697179
69,2023-10-12 17:30:00,Ashdod - Marina,3854802,3736402,3833335,3698829
70,2023-10-12 16:28:00,Ashdod - Marina,3854802,3736402,3835951,3701900
71,2023-10-11 18:01:00,Ashdod - Marina,3854802,3736402,3835369,3702044
72,2023-10-11 16:26:00,Ashdod - Marina,3854802,3736402,3835001,3702300
73,2023-10-11 13:29:00,Ashdod - Marina,3854802,3736402,3832663,3698464
74,2023-10-21 09:01:00,Ashdod - City,3857812,3737660,3832952,3699883
75,2023-10-20 21:03:00,Ashdod - City,3857812,3737660,3835597,3703175
76,2023-10-20 12:03:00,Ashdod - City,3857812,3737660,3833962,3698479
77,2023-10-17 19:28:00,Ashdod - City,3857812,3737660,3833948,3701974
78,2023-10-16 13:32:00,Ashdod - City,3857812,3737660,3835367,3703854
79,2023-10-16 11:41:00,Ashdod - City,3857812,3737660,3835282,3703381
80,2023-10-14 20:42:00,Ashdod - City,3857812,3737660,3832218,3698907
81,2023-10-14 17:01:00,Ashdod - City,3857812,3737660,3835764,3703126
82,2023-10-13 21:03:00,Ashdod - City,3857812,3737660,3833395,3699902
83,2023-10-12 17:30:00,Ashdod - City,3857812,3737660,3836032,3699774
84,2023-10-12 16:28:00,Ashdod - City,3857812,3737660,3832686,3697846
85,2023-10-11 18:01:00,Ashdod - City,3857812,3737660,3837473,3701316
86,2023-10-11 16:26:00,Ashdod - City,3857812,3737660,3835404,3700419
87,2023-10-11 13:29:00,Ashdod - City,3857812,3737660,3833306,3700392
88,2023-10-21 03:00:00,Sdeh Avraham,3822232,3660259,3834363,3699253
89,2023-10-19 15:02:00,Sdeh Avraham,3822232,3660259,3836357,3704247
90,2023-10-13 13:03:00,Sdeh Avraham,3822232,3660259,3834940,3701114
91,2023-10-21 03:00:00,Dekel,3823396,3658238,3837366,3702913
92,2023-10-19 13:47:00,Dekel,3823396,3658238,3836736,3704130
93,2023-10-13 13:03:00,Dekel,3823396,3658238,3835366,3699570
94,2023-10-21 03:00:00,Yated,3821203,3659625,3835188,3702517
95,2023-10-19 15:02:00,Yated,3821203,3659625,3838006,3701615
96,2023-10-13 13:03:00,Yated,3821203,3659625,3835834,3699446
97,2023-10-11 16:18:00,Yated,3821203,3659625,3831781,3699056
98,2023-10-21 03:00:00,Yevul,3820368,3657378,3833345,3697846
99,2023-10-18 15:03:00,Yevul,3820368,3657378,3834026,3700857
100,2023-10-11 16:19:00,Yevul,3820368,3657378,3835140,3701227
101,2023-10-21 03:00:00,Avshalom,3821732,3658151,3837040,3700847
102,2023-10-19 13:47:00,Avshalom,3821732,3658151,3834561,3698188
103,2023-10-13 13:03:00,Avshalom,3821732,3658151,3838550,3701828
104,2023-10-20 23:02:00,Gavim,3851537,3698674,3833352,3698633
105,2023-10-20 21:17:00,Gavim,3851537,3698674,3833296,3701116
106,2023-10-20 21:11:00,Gavim,3851537,3698674,3836494,3701517
107,2023-10-18 12:35:00,Gavim,3851537,3698674,3833576,3697924
108,2023-10-16 21:02:00,Gavim,3851537,3698674,3834797,3700817
109,2023-10-14 09:45:00,Gavim,3851537,3698674,3835759,3700193
110,2023-10-13 23:58:00,Gavim,3851537,3698674,3834131,3698471
111,2023-10-13 15:19:00,Gavim,3851537,3698674,3835422,3701388
112,2023-10-12 16:56:00,Gavim,3851537,3698674,3836215,3701540
113,2023-10-12 11:28:00,Gavim,3851537,3698674,3836767,3703944
114,2023-10-11 21:09:00,Gavim,3851537,3698674,3835567,3702581
115,2023-10-11 11:28:00,Gavim,3851537,3698674,3835246,3699675
116,2023-10-10 14:53:00,Gavim,3851537,3698674,3832918,3700572
117,2023-10-10 11:00:00,Gavim,3851537,3698674,3832698,3697838
118,2023-10-09 20:05:00,Gavim,3851537,3698674,3833642,3700290
119,2023-10-20 23:02:00,Sapir College,3851035,3699039,3835069,3699893
120,2023-10-20 21:17:00,Sapir College,3851035,3699039,3836925,3700203
121,2023-10-20 21:11:00,Sapir College,3851035,3699039,3836641,3701259
122,2023-10-18 12:35:00,Sapir College,3851035,3699039,3833902,3698778
123,2023-10-16 21:02:00,Sapir College,3851035,3699039,3837843,3702155
124,2023-10-14 09:45:00,Sapir College,3851035,3699039,3836612,3699995
125,2023-10-13 23:58:00,Sapir College,3851035,3699039,3834664,3700403
126,2023-10-13 15:19:00,Sapir College,3851035,3699039,3833814,3698760
127,2023-10-12 16:56:00,Sapir College,3851035,3699039,3834376,3698372
128,2023-10-12 11:28:00,Sapir College,3851035,3699039,3834366,3699662
129,2023-10-11 21:09:00,Sapir College,3851035,3699039,3837197,3701649
130,2023-10-11 11:28:00,Sapir College,3851035,3699039,3835907,3702033
131,2023-10-10 14:53:00,Sapir College,3851035,3699039,3834756,3699370
132,2023-10-10 11:00:00,Sapir College,3851035,3699039,3835873,3701915
133,2023-10-09 20:05:00,Sapir College,3851035,3699039,3835943,3703461
134,2023-10-20 23:01:00,Sderot,3851162,3700819,3834917,3702617
135,2023-10-20 21:17:00,Sderot,3851162,3700819,3833939,3698972
136,2023-10-20 21:11:00,Sderot,3851162,3700819,3838202,3702982
137,2023-10-20 21:01:00,Sderot,3851162,3700819,3836120,3702954
138,2023-10-20 20:37:00,Sderot,3851162,3700819,3837833,3702169
139,2023-10-20 20:07:00,Sderot,3851162,3700819,3834543,3701017
140,2023-10-20 10:49:00,Sderot,3851162,3700819,3836502,3700107
141,2023-10-19 21:01:00,Sderot,3851162,3700819,3835262,3700723
142,2023-10-19 16:03:00,Sderot,3851162,3700819,3835243,3702741
143,2023-10-19 15:04:00,Sderot,3851162,3700819,3836472,3702537
144,2023-10-18 13:51:00,Sderot,3851162,3700819,3836928,3702357
145,2023-10-18 12:35:00,Sderot,3851162,3700819,3836261,3700590
146,2023-10-17 18:59:00,Sderot,3851162,3700819,3836078,3702727
147,2023-10-17 16:59:00,Sderot,3851162,3700819,3836010,3701670
148,2023-10-17 15:57:00,Sderot,3851162,3700819,3835720,3701548
149,2023-10-16 21:02:00,Sderot,3851162,3700819,3832770,3700533
150,2023-10-16 14:42:00,Sderot,3851162,3700819,3837007,3703081
151,2023-10-15 23:00:00,Sderot,3851162,3700819,3836330,3701904
152,2023-10-15 12:58:00,Sderot,3851162,3700819,3834372,3699943
153,2023-10-15 12:58:00,Sderot,3851162,3700819,3836275,3702164
154,2023-10-15 11:15:00,Sderot,3851162,3700819,3838507,3702102
155,2023-10-14 16:03:00,Sderot,3851162,3700819,3836163,3699539
156,2023-10-14 09:45:00,Sderot,3851162,3700819,3833371,3701111
157,2023-10-13 23:58:00,Sderot,3851162,3700819,3835312,3703377
158,2023-10-13 15:19:00,Sderot,3851162,3700819,3837629,3703430
159,2023-10-13 13:15:00,Sderot,3851162,3700819,3833210,3698512
160,2023-10-13 12:33:00,Sderot,3851162,3700819,3833996,3699792
161,2023-10-12 16:55:00,Sderot,3851162,3700819,3835211,3700470
162,2023-10-12 11:28:00,Sderot,3851162,3700819,3834037,3699801
163,2023-10-11 21:31:00,Sderot,3851162,3700819,3837734,3702438
164,2023-10-11 21:09:00,Sderot,3851162,3700819,3834672,3702528
165,2023-10-11 20:59:00,Sderot,3851162,3700819,3832547,3698295
166,2023-10-11 20:46:00,Sderot,3851162,3700819,3832981,3697738
167,2023-10-11 17:07:00,Sderot,3851162,3700819,3835146,3703376
168,2023-10-11 16:55:00,Sderot,3851162,3700819,3836334,3702150
169,2023-10-11 16:20:00,Sderot,3851162,3700819,3832932,3698203
170,2023-10-11 11:27:00,Sderot,3851162,3700819,3834470,3698987
171,2023-10-11 09:08:00,Sderot,3851162,3700819,3834952,3703216
172,2023-10-11 08:05:00,Sderot,3851162,3700819,3837837,3702859
173,2023-10-10 17:00:00,Sderot,3851162,3700819,3833972,3701514
174,2023-10-10 16:33:00,Sderot,3851162,3700819,3836096,3700085
175,2023-10-10 14:58:00,Sderot,3851162,3700819,3835174,3700976
176,2023-10-10 14:53:00,Sderot,3851162,3700819,3833199,3699497
177,2023-10-10 13:12:00,Sderot,3851162,3700819,3835823,3703603
178,2023-10-10 11:00:00,Sderot,3851162,3700819,3836956,3700432
179,2023-10-09 20:17:00,Sderot,3851162,3700819,3834856,3700957
180,2023-10-09 20:02:00,Sderot,3851162,3700819,3832079,3698214
181,2023-10-09 19:10:00,Sderot,3851162,3700819,3833881,3698468
182,2023-10-20 23:01:00,Ivim,3852743,3702316,3833866,3699018
183,2023-10-20 21:17:00,Ivim,3852743,3702316,3833956,3699040
184,2023-10-20 21:11:00,Ivim,3852743,3702316,3835962,3700192
185,2023-10-20 21:01:00,Ivim,3852743,3702316,3834230,3700319
186,2023-10-20 20:37:00,Ivim,3852743,3702316,3835575,3700793
187,2023-10-20 20:07:00,Ivim,3852743,3702316,3838444,3701593
188,2023-10-20 10:49:00,Ivim,3852743,3702316,3836079,3701517
189,2023-10-19 21:01:00,Ivim,3852743,3702316,3833902,3701051
190,2023-10-19 16:03:00,Ivim,3852743,3702316,3837036,3703873
191,2023-10-19 15:04:00,Ivim,3852743,3702316,3836191,3702387
192,2023-10-18 13:51:00,Ivim,3852743,3702316,3834559,3701162
193,2023-10-18 12:35:00,Ivim,3852743,3702316,3834262,3700281
194,2023-10-17 18:59:00,Ivim,3852743,3702316,3836518,3702358
195,2023-10-17 16:59:00,Ivim,3852743,3702316,3835212,3698851
196,2023-10-17 15:57:00,Ivim,3852743,3702316,3836580,3703083
197,2023-10-16 21:02:00,Ivim,3852743,3702316,3833737,3701283
198,2023-10-16 14:42:00,Ivim,3852743,3702316,3836834,3703613
199,2023-10-15 23:00:00,Ivim,3852743,3702316,3836160,3703663
200,2023-10-15 12:58:00,Ivim,3852743,3702316,3832377,3698378
201,2023-10-15 12:58:00,Ivim,3852743,3702316,3835679,3700791
202,2023-10-15 11:15:00,Ivim,3852743,3702316,3833656,3698815
203,2023-10-14 16:03:00,Ivim,3852743,3702316,3837501,3701405
204,2023-10-14 09:45:00,Ivim,3852743,3702316,3834569,3699452
205,2023-10-13 23:58:00,Ivim,3852743,3702316,3834794,3701152
206,2023-10-13 15:19:00,Ivim,3852743,3702316,3834421,3700435
207,2023-10-13 13:15:00,Ivim,3852743,3702316,3834383,3699451
208,2023-10-13 12:33:00,Ivim,3852743,3702316,3833759,3698391
209,2023-10-12 16:55:00,Ivim,3852743,3702316,3835753,3701432
210,2023-10-12 11:28:00,Ivim,3852743,3702316,3834844,3703195
211,2023-10-11 21:31:00,Ivim,3852743,3702316,3832969,3698031
212,2023-10-11 21:09:00,Ivim,3852743,3702316,3832908,3699152
213,2023-10-11 20:59:00,Ivim,3852743,3702316,3835684,3703910
214,2023-10-11 20:46:00,Ivim,3852743,3702316,3838663,3702504
215,2023-10-11 17:07:00,Ivim,3852743,3702316,3835806,3699416
216,2023-10-11 16:55:00,Ivim,3852743,3702316,3833884,3697683
217,2023-10-11 16:20:00,Ivim,3852743,3702316,3834688,3703047
218,2023-10-11 11:27:00,Ivim,3852743,3702316,3835928,3700467
219,2023-10-11 09:08:00,Ivim,3852743,3702316,3833977,3697812
220,2023-10-11 08:05:00,Ivim,3852743,3702316,3836322,3701409
221,2023-10-10 17:00:00,Ivim,3852743,3702316,3838137,3702968
222,2023-10-10 16:33:00,Ivim,3852743,3702316,3837029,3703128
223,2023-10-10 14:58:00,Ivim,3852743,3702316,3837631,3703148
224,2023-10-10 14:53:00,Ivim,3852743,3702316,3833277,3700804
225,2023-10-10 13:12:00,Ivim,3852743,3702316,3832751,3699385
226,2023-10-10 11:00:00,Ivim,3852743,3702316,3834376,3698267
227,2023-10-09 20:17:00,Ivim,3852743,3702316,3835858,3704457
228,2023-10-09 20:02:00,Ivim,3852743,3702316,3833823,3697634
229,2023-10-09 19:10:00,Ivim,3852743,3702316,3833494,3700885
230,2023-10-20 23:01:00,Nir Am,3849489,3700266,3834194,3698480
231,2023-10-20 21:17:00,Nir Am,3849489,3700266,3833774,3700116
232,2023-10-20 21:11:00,Nir Am,3849489,3700266,3833596,3697352
233,2023-10-20 21:01:00,Nir Am,3849489,3700266,3833816,3697908
234,2023-10-20 20:37:00,Nir Am,3849489,3700266,3837128,3702945
235,2023-10-20 20:07:00,Nir Am,3849489,3700266,3832540,3699801
236,2023-10-20 10:49:00,Nir Am,3849489,3700266,3835954,3703068
237,2023-10-19 21:01:00,Nir Am,3849489,3700266,3838152,3701342
238,2023-10-19 16:03:00,Nir Am,3849489,3700266,3835932,3703473
239,2023-10-19 15:04:00,Nir Am,3849489,3700266,3832975,3700012
240,2023-10-18 13:51:00,Nir Am,3849489,3700266,3832363,3697944
241,2023-10-18 12:35:00,Nir Am,3849489,3700266,3834113,3697824
242,2023-10-17 18:59:00,Nir Am,3849489,3700266,3834469,3699533
243,2023-10-17 16:59:00,Nir Am,3849489,3700266,3833297,3701240
244,2023-10-17 15:57:00,Nir Am,3849489,3700266,3838577,3701795
245,2023-10-16 21:02:00,Nir Am,3849489,3700266,3831823,3699088
246,2023-10-16 14:42:00,Nir Am,3849489,3700266,3835525,3703024
247,2023-10-15 23:00:00,Nir Am,3849489,3700266,3837373,3703279
248,2023-10-15 12:58:00,Nir Am,3849489,3700266,3835544,3703710
249,2023-10-15 12:58:00,Nir Am,3849489,3700266,3832743,3700354
250,2023-10-15 11:15:00,Nir Am,3849489,3700266,3835888,3700224
251,2023-10-14 16:03:00,Nir Am,3849489,3700266,3832019,3698279
252,2023-10-14 09:45:00,Nir Am,3849489,3700266,3835185,3700461
253,2023-10-13 23:58:00,Nir Am,3849489,3700266,3836248,3704541
